module,related_mods
ACC1002,"['ACC1002', 'ACC1006', 'ACC2002', 'ACC3605', 'ACC3616', 'FIN2004', 'FIN3113', 'FIN3130', 'FIN2004X', 'FIN4115']"
ACC1002X,"['ACC1002X', 'ACC2002', 'ACC2707', 'FIN2004', 'FIN3113', 'FIN2004X']"
ACC1006,"['ACC1002', 'ACC1006']"
ACC1701,"['EC2204', 'ACC2707', 'ACC2709', 'ACC2706', 'ACC3703', 'ACC3706', 'FIN2704', 'FIN3716', 'FIN4713', 'FIN2704X', 'FIN3720']"
ACC1701X,"['ACC1002X', 'ACC2707', 'ACC2709', 'ACC2706', 'ACC3703', 'ACC3706', 'FIN2704', 'FIN3716', 'FIN4713', 'FIN2704X']"
ACC2002,"['ACC1002', 'ACC1002X', 'ACC2002', 'IE4242']"
ACC2706,"['EC2204', 'ACC2002', 'ACC4761A']"
ACC2707,"['EC2204', 'ACC2708', 'ACC3704', 'ACC3701']"
ACC2708,"['ACC2707', 'ACC3704', 'ACC4761H']"
ACC2709,"['EC2204', 'ACC1006', 'ACC3701']"
ACC3603,"['ACC3603', 'ACC4612A', 'ACC4615']"
ACC3604,"['BSP1004', 'ACC3604']"
ACC3605,"['BSP1004', 'ACC3605']"
ACC3614,"['FIN2004', 'ACC3614']"
ACC3616,"['ACC1002', 'BSP1004', 'FIN2004', 'ACC4612A', 'ACC4614']"
ACC3701,"['ACC2707', 'ACC2709', 'ACC3603', 'ACC4714', 'ACC4713', 'ACC4761A']"
ACC3703,['ACC4711']
ACC3704,"['ACC2707', 'ACC2708', 'ACC4714']"
ACC3705,['ACC3614']
ACC3706,"['ACC3616', 'ACC4713', 'ACC4761A']"
ACC3707,['ACC3619']
ACC4611,['ACC4611']
ACC4612A,"['ACC3603', 'ACC3616', 'ACC3603']"
ACC4612K,"['FIN2004', 'ACC4761H']"
ACC4614,['ACC3616']
ACC4615,"['ACC3603', 'ACC4615']"
ACC4711,"['ACC3703', 'ACC4611']"
ACC4713,"['ACC3701', 'ACC3706', 'ACC4614']"
ACC4714,"['ACC3701', 'ACC3704', 'ACC4615']"
ACC4761A,"['ACC2706', 'ACC3701', 'ACC3706', 'ACC4612A']"
ACC4761H,"['FIN2704', 'ACC2708', 'ACC4612K']"
AH2101,"['AH2201', 'AH2202', 'AH3201', 'AH3202', 'AH2203', 'AH3203', 'AH3204']"
AH2201,['AH2101']
AH2202,['AH2101']
AH2203,['AH2101']
AH3201,['AH2101']
AH3202,['AH2101']
AH3203,['AH2101']
AH3204,['AH2101']
AR2101,"['AR1101', 'AR1102']"
AR2102,"['AR1101', 'AR1102']"
AR2225,['GEK2044']
AR2723,['AR3721']
AR3101,"['AR2101', 'AR2102', 'LA4701', 'LA4702', 'AR4421']"
AR3101A,"['AR2101', 'AR2102']"
AR3102,"['AR2101', 'AR2102', 'LA4701', 'LA4702', 'AR4421']"
AR3102A,"['AR2101', 'AR2102']"
AR3721,['AR2723']
AR4421,"['AR3101', 'AR3102']"
AR5803,"['AR3101', 'AR3102']"
AR5804,"['AR3101', 'AR3102']"
AS2237,['HY2237']
AUD5114,"['AUD5218', 'AUD5219']"
AUD5218,"['AUD5222', 'AUD5223']"
AUD5220,['AUD5224']
AUD5222,['AUD5218']
AUD5223,['AUD5218']
AUD5224,['AUD5220']
AY1130,"['PX2108', 'PA1113']"
BI3003,['BI3003']
BI3003A,['BI3003']
BI3003B,['BI3003']
BI3003C,['BI3003']
BI3003D,['BI3003']
BMA5001,"['BMS5110', 'BMS5117']"
BMA5102,['BMS5111']
BMA5104,"['BMS5112', 'BMS5118']"
BMA5313,['BMF5346']
BME5045,['BME5046']
BMF5322,"['BMF5331', 'BMF5332', 'BMF5333', 'BMF5334', 'BMF5342', 'BMF5351']"
BMF5331,['BMF5322']
BMF5332,"['BMF5322', 'BMF5351', 'BMF5352', 'BMF5353']"
BMF5333,['BMF5322']
BMF5334,['BMF5322']
BMF5342,"['BMF5322', 'FIN4124', 'FIN4719']"
BMF5346,"['BMA5313', 'BMS5113', 'BMS5304']"
BMF5351,"['BMF5322', 'BMF5332']"
BMF5352,"['BMF5332', 'FIN4115', 'FIN4713', 'BMA5323']"
BMF5353,['BMF5332']
BMF5355,['BMS5307']
BMF5356,"['FIN3118', 'FIN3714']"
BMF5392,"['BMF5391A', 'BMF5391B', 'BMF5391C']"
BMK5100,['BMS5512']
BMK5204,['BMS5502']
BMK5205,['BMS5117']
BMS5110,"['BMA5001', 'EC3312', 'MKT3513', 'MKT3812', 'MA4264']"
BMS5111,['BMA5102']
BMS5112,"['BMS5118', 'BMA5104']"
BMS5113,['BMA5128']
BMS5114,"['BSP2005', 'BMA5128']"
BMS5117,"['BMA5001', 'EC3312', 'MKT3513', 'MKT3812', 'MA4264']"
BMS5118,"['BMS5112', 'BMA5104']"
BMS5121,"['BMC5035F', 'IS5002', 'PP5021']"
BMS5205,['BMA5002']
BMS5207,"['DOS4714', 'DSC4211G']"
BMS5304,['BMA5313']
BMS5310,['FIN4112L']
BMS5312,['FIN4123']
BMS5405S,"['TR3002', 'BSN3702']"
BMS5410,"['BMA5406', 'MNO3702', 'MNO3322']"
BMS5504,['MKT3421']
BMS5506,"['MKT3402A', 'MKT3402B', 'MKT3702A', 'MKT3702B']"
BMS5508,['BMA5530']
BMS5512,['BMK5100']
BMS5513,"['BMA5506', 'MKT3418', 'MKT3717']"
BMS5602,['FIN3113']
BMS5902,['BMA5902']
BN2102,"['EE3801', 'EE4802', 'IE2100', 'IE3101', 'IE4211', 'SPH3101']"
BN2201,['LSM3212']
BN2204,['BN3202']
BN2301,['LSM1401']
BN3202,['BN2204']
BN3301,"['LSM1401', 'MLE3104', 'BN4301', 'MLE4203']"
BN4202,"['CN2122', 'ME2134']"
BN4301,['BN3301']
BN4501,"['MA1505', 'LSM1401']"
BPS5111,['BPS5111']
BPS5221,['BPS5221']
BPS5222,['BPS5222']
BPS5223,['BPS5223']
BPS5224,['BPS5224']
BSE3701,['BSP2701']
BSE3702,"['BSP1703', 'EC1101E', 'EC1301', 'EC2101']"
BSE3703,"['BSP1703', 'EC1101E', 'EC1301', 'EC3303', 'BSN4811A', 'BSS4003B']"
BSE3711,"['BSP1005', 'EC3312']"
BSE4711,"['BSP1703', 'EC1101E', 'EC1301', 'IS3240']"
BSN3701,['IS3251']
BSN4711,"['BSP1702', 'BSP1703', 'BSP2701']"
BSN4811,"['EC1101E', 'BSS4003A']"
BSN4811A,"['EC3303', 'BSE3703', 'ST3131', 'BSN4811']"
BSP1004,"['ACC3604', 'ACC3605', 'ACC3616']"
BSP1005,"['EC2101', 'EC2102', 'EC2374', 'EC3303', 'EC2383', 'BSS4003A', 'BSE3711', 'MKT3513']"
BSP1702,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706', 'BSN4711']"
BSP1702X,"['RE1703', 'ACC3702', 'ACC3703', 'ACC3706']"
BSP1703,"['EC2101', 'EC2102', 'EC2374', 'EC2383', 'BSP2701', 'BSE3702', 'BSE3703', 'BSE3701', 'BSE4711', 'BSN4811', 'BSP2011', 'BSN3715', 'BSN4711', 'MKT4714']"
BSP1707A,['BSP1005']
BSP1707B,['BSP1005']
BSP2011,"['EC1101E', 'BSP2701', 'BSP2005']"
BSP2701,"['BSP1703', 'EC1101E', 'EC1301', 'BSE3701', 'BSP2011', 'BSN3715', 'BSN4711']"
BSP3001A,"['BSP3001B', 'BSP3001C']"
BSP3001B,"['BSP3001A', 'BSP3001C']"
BSP3001C,"['BSP3001A', 'BSP3001B']"
BSS4003A,"['BSP1005', 'EC1301', 'DSC2008', 'EC2303']"
