module,related_mods
AA1201,[]
AC5002,[]
AC5003,[]
AC5004,[]
AC5005,[]
AC5010,[]
ACC1002,"['ACC1002', 'ACC1006', 'ACC2002', 'ACC3605', 'ACC3616', 'FIN2004', 'FIN3113', 'FIN3130', 'FIN2004X', 'FIN4115']"
ACC1002X,"['ACC1002X', 'ACC2002', 'ACC2707', 'FIN2004', 'FIN3113', 'FIN2004X']"
ACC1006,"['ACC1002', 'ACC1006']"
ACC1701,"['EC2204', 'ACC2707', 'ACC2709', 'ACC2706', 'ACC3703', 'ACC3706', 'FIN2704', 'FIN3716', 'FIN4713', 'FIN2704X', 'FIN3720']"
ACC1701X,"['ACC1002X', 'ACC2707', 'ACC2709', 'ACC2706', 'ACC3703', 'ACC3706', 'FIN2704', 'FIN3716', 'FIN4713', 'FIN2704X']"
ACC2002,"['ACC1002', 'ACC1002X', 'ACC2002', 'IE4242']"
ACC2706,"['EC2204', 'ACC2002', 'ACC4761A']"
ACC2707,"['EC2204', 'ACC2708', 'ACC3704', 'ACC3701']"
ACC2708,"['ACC2707', 'ACC3704', 'ACC4761H']"
ACC2709,"['EC2204', 'ACC1006', 'ACC3701']"
ACC3603,"['ACC3603', 'ACC4612A', 'ACC4615']"
ACC3604,"['BSP1004', 'ACC3604']"
ACC3605,"['BSP1004', 'ACC3605']"
ACC3614,"['FIN2004', 'ACC3614']"
ACC3616,"['ACC1002', 'BSP1004', 'FIN2004', 'ACC4612A', 'ACC4614']"
ACC3619,[]
ACC3701,"['ACC2707', 'ACC2709', 'ACC3603', 'ACC4714', 'ACC4713', 'ACC4761A']"
ACC3702,[]
ACC3703,['ACC4711']
ACC3704,"['ACC2707', 'ACC2708', 'ACC4714']"
ACC3705,['ACC3614']
ACC3706,"['ACC3616', 'ACC4713', 'ACC4761A']"
ACC3707,['ACC3619']
ACC4611,['ACC4611']
ACC4612A,"['ACC3603', 'ACC3616', 'ACC3603']"
ACC4612K,"['FIN2004', 'ACC4761H']"
ACC4614,['ACC3616']
ACC4615,"['ACC3603', 'ACC4615']"
ACC4619,[]
ACC4629,[]
ACC4711,"['ACC3703', 'ACC4611']"
ACC4713,"['ACC3701', 'ACC3706', 'ACC4614']"
ACC4714,"['ACC3701', 'ACC3704', 'ACC4615']"
ACC4761A,"['ACC2706', 'ACC3701', 'ACC3706', 'ACC4612A']"
ACC4761H,"['FIN2704', 'ACC2708', 'ACC4612K']"
AH2101,"['AH2201', 'AH2202', 'AH3201', 'AH3202', 'AH2203', 'AH3203', 'AH3204']"
AH2201,['AH2101']
AH2202,['AH2101']
AH2203,['AH2101']
AH3201,['AH2101']
AH3202,['AH2101']
AH3203,['AH2101']
AH3204,['AH2101']
ALS1010,[]
ALS1020,[]
AR1101,[]
AR1102,[]
AR1327,[]
AR1328,[]
AR2101,"['AR1101', 'AR1102']"
AR2102,"['AR1101', 'AR1102']"
AR2221,[]
AR2222,[]
AR2224,[]
AR2225,['GEK2044']
AR2327,[]
AR2522,[]
AR2524,[]
AR2723,['AR3721']
AR3101,"['AR2101', 'AR2102', 'LA4701', 'LA4702', 'AR4421']"
AR3101A,"['AR2101', 'AR2102']"
AR3102,"['AR2101', 'AR2102', 'LA4701', 'LA4702', 'AR4421']"
AR3102A,"['AR2101', 'AR2102']"
